Epoch: 0 
itr: 222, G_loss : -0.547, D_loss_real : +0.105, D_loss_fake : +1.499
itr: 223, G_loss : -0.351, D_loss_real : +0.147, D_loss_fake : +1.027
itr: 224, G_loss : -0.360, D_loss_real : +0.038, D_loss_fake : +1.099
itr: 225, G_loss : -0.105, D_loss_real : +0.245, D_loss_fake : +0.568
itr: 226, G_loss : -0.232, D_loss_real : +1.254, D_loss_fake : +0.384
itr: 227, G_loss : -0.616, D_loss_real : +0.012, D_loss_fake : +1.940
itr: 228, G_loss : -0.092, D_loss_real : +0.224, D_loss_fake : +0.853
itr: 229, G_loss : -0.189, D_loss_real : +0.287, D_loss_fake : +1.270
itr: 230, G_loss : +0.147, D_loss_real : +0.970, D_loss_fake : +0.007
itr: 231, G_loss : +0.214, D_loss_real : +0.303, D_loss_fake : +0.492
itr: 232, G_loss : +0.314, D_loss_real : +0.657, D_loss_fake : +0.076
itr: 233, G_loss : +0.064, D_loss_real : +1.529, D_loss_fake : +0.434
itr: 234, G_loss : -0.101, D_loss_real : +1.076, D_loss_fake : +0.592
itr: 235, G_loss : -0.035, D_loss_real : +0.319, D_loss_fake : +0.514
itr: 236, G_loss : +0.095, D_loss_real : +0.354, D_loss_fake : +0.127
itr: 237, G_loss : -0.633, D_loss_real : +0.150, D_loss_fake : +1.545
itr: 238, G_loss : -0.409, D_loss_real : +0.169, D_loss_fake : +1.170
itr: 239, G_loss : -0.198, D_loss_real : +0.075, D_loss_fake : +1.308
itr: 240, G_loss : -0.456, D_loss_real : +2.263, D_loss_fake : +0.536
itr: 241, G_loss : -0.339, D_loss_real : +0.417, D_loss_fake : +1.308
itr: 242, G_loss : -0.076, D_loss_real : +0.717, D_loss_fake : +0.749
itr: 243, G_loss : -0.348, D_loss_real : +3.465, D_loss_fake : +0.043
itr: 244, G_loss : -0.113, D_loss_real : +0.235, D_loss_fake : +0.596
itr: 245, G_loss : +0.169, D_loss_real : +0.712, D_loss_fake : +0.286
itr: 246, G_loss : -0.323, D_loss_real : +0.123, D_loss_fake : +1.241
itr: 247, G_loss : -0.076, D_loss_real : +1.054, D_loss_fake : +0.329
itr: 248, G_loss : +0.192, D_loss_real : +0.425, D_loss_fake : +0.378
itr: 249, G_loss : +0.089, D_loss_real : +0.784, D_loss_fake : +0.805
itr: 250, G_loss : -0.229, D_loss_real : +1.994, D_loss_fake : +0.656
itr: 251, G_loss : -0.124, D_loss_real : +0.505, D_loss_fake : +0.712
itr: 252, G_loss : -0.322, D_loss_real : +2.381, D_loss_fake : +0.000
itr: 253, G_loss : +0.077, D_loss_real : +1.336, D_loss_fake : +0.277
itr: 254, G_loss : -0.642, D_loss_real : +2.623, D_loss_fake : +0.281
itr: 255, G_loss : -0.180, D_loss_real : +1.842, D_loss_fake : +0.404
itr: 256, G_loss : -0.108, D_loss_real : +1.300, D_loss_fake : +0.318
itr: 257, G_loss : +0.124, D_loss_real : +0.624, D_loss_fake : +0.054
itr: 258, G_loss : +0.285, D_loss_real : +0.158, D_loss_fake : +0.274
itr: 259, G_loss : +0.169, D_loss_real : +0.695, D_loss_fake : +0.664
itr: 260, G_loss : +0.080, D_loss_real : +1.139, D_loss_fake : +0.098
itr: 261, G_loss : -0.364, D_loss_real : +1.704, D_loss_fake : +0.144
itr: 262, G_loss : -0.074, D_loss_real : +0.753, D_loss_fake : +0.672
itr: 263, G_loss : +0.050, D_loss_real : +0.896, D_loss_fake : +0.794
itr: 264, G_loss : +0.164, D_loss_real : +0.885, D_loss_fake : +0.000
itr: 265, G_loss : -1.084, D_loss_real : +18.953, D_loss_fake : +0.132
itr: 266, G_loss : -0.751, D_loss_real : +0.374, D_loss_fake : +1.647
itr: 267, G_loss : -0.680, D_loss_real : +0.227, D_loss_fake : +1.626
itr: 268, G_loss : -0.492, D_loss_real : +0.057, D_loss_fake : +1.442
itr: 269, G_loss : -0.324, D_loss_real : +0.312, D_loss_fake : +1.041
itr: 270, G_loss : -0.267, D_loss_real : +0.999, D_loss_fake : +0.774
itr: 271, G_loss : -0.190, D_loss_real : +0.587, D_loss_fake : +0.673
